"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"341","WR","Cam Sims","Cam","Sims",77,"214",12,39,61,581,1,683,272,1,3.25,11.2
"342","WR","Tony Brown","Tony","Brown",73,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","WR","Kelvin Harmon","Kelvin","Harmon",74,"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","WR","Emanuel Hall","Emanuel","Hall",75,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","WR","Dontrelle Inman","Dontrelle","Inman",75,"205",7,18,28,163,2,231,44,0,2.57,8.25
"346","WR","Robert Foster","Robert","Foster",74,"194",3,2,6,37,0,84,32,0,0.67,14
"347","WR","Isaiah Wright","Isaiah","Wright",74,"220",12,27,36,197,0,151,143,3,2.25,4.19
"348","WR","Steven Sims","Steven","Sims",70,"176",12,30,41,298,2,299,127,2,2.5,7.29
"349","WR","Jeff Badet","Jeff","Badet",71,"182",1,0,1,0,0,25,0,0,0,25
"350","WR","Trevor Davis","Trevor","Davis",73,"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","WR","Charone Peake","Charone","Peake",74,"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","WR","Riley McCarron","Riley","McCarron",69,"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","WR","Carlton Agudosi","Carlton","Agudosi",78,"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","WR","Teo Redding","Teo","Redding",73,"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","WR","Leonte Carroo","Leonte","Carroo",72,"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","WR","Jordy Nelson","Jordy","Nelson",75,"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","WR","Sammie Coates","Sammie","Coates",73,"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","WR","Julian Williams","Julian","Williams",71,"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","WR","Jonah Trinnaman","Jonah","Trinnaman",70,"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","WR","Terrelle Pryor","Terrelle","Pryor",76,"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
